Name;Valid Range;Units;Scaling Factor;Description
file identifier;N/A ;unitless ;N/A ;A value uniquely identifying the resource
Metadata language;N/A ;unitless ;N/A ;Language code
Point of contact (metadata) - organisationName;N/A ;unitless ;N/A ;This is the description of the organisation responsible for the creation and maintenance of the metadata.
Point of contact (metadata) - electronicMailAddress;N/A ;unitless ;N/A ;Contact e-mail address
Responsible party / Organisation Name;N/A ;unitless ;N/A ;This is the description of the organisation responsible for the establishment, management, maintenance and distribution of the resource.
Responsible party / E-Mail Address;N/A ;unitless ;N/A ;Contacting e-mail address for responsible party
Metadata date;1-366;unitless;1;The date which specifies when the metadata record was created or updated.
Resource title;N/A ;unitless ;N/A ;This a characteristic, and often unique, name by which the resource is known
Identifier Code;N/A ;unitless ;N/A ;A value uniquely identifying the resource.
Resource abstract;N/A ;unitless ;N/A ;This is a brief narrative summary of the content of the resource.
Resource locator;N/A ;unitless ;N/A ;The resource locator defines the link(s) to the resource and/or the link to additional information about the resource.
Topic category;N/A ;unitless ;N/A ;The topic category is a high-level classification scheme to assist in the grouping and topic-based search of available spatial data resources.
Keyword from INSPIRE Data themes;N/A ;unitless ;N/A ;The keyword value is a commonly used word, formalised word or phrase used to describe the subject. While the topic category is too coarse for detailed queries, keywords help narrowing a full text search and they allow for structured keyword search.
Keyword from repositories;N/A ;unitless ;N/A ;
Free keyword;N/A ;unitless ;N/A ;The keyword value is a commonly used word, formalised word or phrase used to describe the subject. While the topic category is too coarse for detailed queries, keywords help narrowing a full text search and they allow for structured keyword search.
Originating controlled vocabulary;N/A ;unitless ;N/A ;If the keyword value originates from a controlled vocabulary (thesaurus, ontology), for example GEMET, the citation of the originating controlled vocabulary shall be provided. This citation shall include at least the title and a reference date (date of publication, date of last revision or of creation) of the originating controlled vocabulary.
Date of creation;1-366;unitless;1;This is the date of creation of the resource. There shall not be more than one date of creation.
Date of publication;1-366;unitless;1;This is the date of publication of the resource when available, or the date of entry into force. There may be more than one date of publication.
Date of last revision;1-366;unitless;1;This is the date of last revision of the resource, if the resource has been revised. There shall not be more than one date of last revision.
Conditions applying to access and use;N/A ;unitless ;N/A ;This metadata element defines the conditions for access and use of spatial data sets and services, and where applicable, corresponding fees as required by Article 5(2)(b) and Article 11(2)(f) of Directive 2007/2/EC.
Limitations on public access;N/A ;unitless ;N/A ;When Member States limit public access to spatial data sets and spatial data services under Article 13 of Directive 2007/2/EC, this metadata element shall provide information on the limitations and the reasons for them. If there are no limitations on public access, this metadata element shall indicate that fact.
Resolution distance;10 to 60;m;N/A ;A resolution distance shall be expressed as a numerical value associated with a unit of length.
Unit of measure;N/A ;m;N/A ;A resolution distance shall be expressed as a numerical value associated with a unit of length.
Geographic bounding box;- 180  to  180;unitless ;1;This is the extent of the resource in the geographic space, given as a bounding box. The bounding box shall be expressed with westbound and eastbound longitudes, and southbound and northbound latitudes in decimal degrees, with a precision of at least two decimals.
Temporal extent / Starting date;1-366;unitless;1;The temporal extent defines the time period covered by the content of the resource. This time period may be expressed as any of the following: - an individual date, - an interval of dates expressed through the starting date and end date of the interval, - a mix of individual dates and intervals of dates.
Temporal extent / Ending date;1-366;unitless;1;The temporal extent defines the time period covered by the content of the resource. This time period may be expressed as any of the following: - an individual date, - an interval of dates expressed through the starting date and end date of the interval, - a mix of individual dates and intervals of dates.
Conformity;N/A ;m;N/A ;This is a citation of the implementing rules adopted under Article 7(1) of Directive 2007/2/EC or other specification to which a particular resource conforms. A resource may conform to more than one implementing rules adopted under Article 7(1) of Directive 2007/2/EC or other specification. This citation shall include at least the title and a reference date (date of publication, date of last revision or of creation) of the implementing rules adopted under Article 7(1) of Directive 2007/2/EC or of the specification.
Lineage;N/A ;m;N/A ;This is a statement on process history and/or overall quality of the spatial data set. Where appropriate it may include a statement whether the data set has been validated or quality assured, whether it is the official version (if multiple versions exist), and whether it has legal validity.
